duplicate_group_id,duplicate_count,source_entries,Material,Text,Tensile_value,Yield_value,Elongation_value,cluster_number,cluster_label
1122,3,"1124,1550,2918",ASTM A387 Alloy Steel,"Grade 5, Class 1",415.0,205.0,18.0,1,Hot rolled – general construction steel
1123,3,"1130,1416,2751",ASTM A387 Alloy Steel,Grade 91,585.0,415.0,18.0,1,Hot rolled – general construction steel
1124,3,"1132,1133,2414",ASTM A710 Steel,"Grade A, Class 1, 8 - 19 mm Inclusive",620.0,550.0,20.0,1,Hot rolled – general construction steel
1126,3,"1137,1362,2719",ASTM A387 Alloy Steel,"Grade 9, Class 1",415.0,205.0,18.0,1,Hot rolled – general construction steel
1128,3,"1146,1178,2353",ASTM A709 Steel,"Grade 50 And 50W, _ 100 mm",451.0,345.0,18.0,1,Hot rolled – general construction steel
1129,3,"1155,1244,2403",ASTM A710 Steel,"Grade A, Class 2, 25 - 50 mm Inclusive",495.0,415.0,20.0,1,Hot rolled – general construction steel
1146,3,"1188,1305,2734",ASTM A387 Alloy Steel,"Grade 5, Class 2",515.0,310.0,18.0,1,Hot rolled – general construction steel
1151,3,"1193,1283,2757",ASTM A387 Alloy Steel,"Grade 7, Class 2",515.0,310.0,18.0,1,Hot rolled – general construction steel
1205,3,"1262,1379,2732",ASTM A387 Alloy Steel,"Grade 7, Class 1",415.0,205.0,18.0,1,Hot rolled – general construction steel
1,2,"1,2093",AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 25 mm (1 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 800C (1470F) And Oil Quenched, 150C (300F) Temper",745.0,440.0,21.0,0,Carburized – quenched (oil) – wear-resistant surface steel
2,2,"2,2096",AISI 4027 Steel,"Water Quenched 865C (1590F), 540C (1000F) Temper, 100 mm (4 In.) Round",689.0,510.0,25.0,10,Quenched (water) & tempered – high-strength structural steel
3,2,"3,2099",AISI 4027 Steel,"Water Quenched 865C (1590F), 480C (900F) Temper, 50 mm (2 In.) Round",786.0,615.0,22.0,10,Quenched (water) & tempered – high-strength structural steel
4,2,"4,2214",AISI 4027 Steel,"Water Quenched 865C (1590F), 480C (900F) Temper, 25 mm (1 In.) Round",1035.0,917.0,16.0,10,Quenched (water) & tempered – high-strength structural steel
5,2,"5,2161",AISI 4027 Steel,"Water Quenched 865C (1590F), 595C (1100F) Temper, 50 mm (2 In.) Round",717.0,550.0,24.0,10,Quenched (water) & tempered – high-strength structural steel
6,2,"6,2090",AISI 4027 Steel,"Water Quenched 865C (1590F), 480C (900F) Temper, 100 mm (4 In.) Round",696.0,540.0,25.0,10,Quenched (water) & tempered – high-strength structural steel
7,2,"7,2103",AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 13.7 mm (0.540 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 775C (1430F) And Oil Quenched, 150C (300F) Temper",931.0,620.0,14.0,0,Carburized – quenched (oil) – wear-resistant surface steel
8,2,"8,2087",AISI 4027 Steel,"Normalized, 25 mm (1 In.) Round",640.0,420.0,25.0,9,Normalized – general-purpose steel (round normalized stock)
9,2,"9,2098",AISI 4118 Steel,"Normalized At 910C (1670F), Air Cooled, 100 mm (4 In.) Round",521.0,341.0,34.0,4,Normalized (air cooled) – general-purpose steel
10,2,"10,2121",AISI 4118H Steel,"Normalized At 910C (1670F), Air Cooled, 50 mm (2 In.) Round",534.0,376.0,34.0,4,Normalized (air cooled) – general-purpose steel
11,2,"11,2095",AISI 4118 Steel,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 230C (450F) Temper, 25 mm (1 In.) Round",793.0,441.0,22.0,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
12,2,"12,2759",AISI 4130 Steel,"Water Quenched 855C (1570F), 595C (1100F) Temper, 13 mm (0.5 In.) Round",917.0,841.0,20.0,10,Quenched (water) & tempered – high-strength structural steel
13,2,"13,2158",AISI 4118 Steel,"Direct Quenched From Pot, Carburized, 150C (300F) Temper",1225.0,903.0,9.0,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
14,2,"14,2132",AISI 4118 Steel,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 150C (300F) Temper, 100 mm (4 In.) Round",641.0,300.0,28.0,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
15,2,"15,2824",AISI 4130 Steel,"Water Quenched 855C (1570F), 480C (900F) Temper, 100 mm (4 In.) Round",841.0,655.0,20.0,10,Quenched (water) & tempered – high-strength structural steel
16,2,"16,2825",AISI 4130H Steel,"Water Quenched 855C (1570F), 480C (900F) Temper, 25 mm (1 In.) Round",1110.0,951.0,14.0,10,Quenched (water) & tempered – high-strength structural steel
17,2,"17,2763",AISI 4130 Steel,"Water Quenched 855C (1570F), 595C (1100F) Temper, 50 mm (2 In.) Round",786.0,635.0,21.0,10,Quenched (water) & tempered – high-strength structural steel
18,2,"18,2764",AISI 4130 Steel,"Normalized At 870C (1600F), Air Cooled, 13 mm (0.5 In.) Round",731.0,460.0,25.0,4,Normalized (air cooled) – general-purpose steel
19,2,"19,2760",AISI 4130 Steel,"Normalized At 870C (1600F), Air Cooled, 100 mm (4 In.) Round",615.0,400.0,27.0,4,Normalized (air cooled) – general-purpose steel
20,2,"20,2266",AISI 4118H Steel,"Mock Carburized, 150C (300F) Temper, 14 mm (0.55 In.) Round",986.0,645.0,17.0,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
21,2,"21,2770",AISI 4140 Steel,"Normalized At 870C (1600F), Air Cooled, 100 mm (4 In.) Round",814.0,485.0,22.0,4,Normalized (air cooled) – general-purpose steel
22,2,"22,2830",AISI 4140 Steel,"Oil Quenched, 100 mm (4 In.) Round (845C (1550F) Quench, 650C (1200F) Temper)",772.0,580.0,23.0,6,Quenched (oil) & tempered – high-strength structural steel
23,2,"23,2776",AISI 4130 Steel,"Normalized At 870C (1600F), Air Cooled, 25 mm (1 In.) Round",670.0,435.0,25.0,4,Normalized (air cooled) – general-purpose steel
24,2,"24,2783",AISI 4130H Steel,Normalized At 870C (1600F),670.0,435.0,25.0,4,Normalized (air cooled) – general-purpose steel
25,2,"25,2879",AISI 4130H Steel,"Normalized At 870C (1600F), Air Cooled, 25 mm (1 In.) Round",670.0,435.0,25.0,4,Normalized (air cooled) – general-purpose steel
26,2,"26,2775",AISI 4140 Steel,"Oil Quenched, 25 mm (1 In.) Round (845C (1550F) Quench, 595C (1100F) Temper)",965.0,931.0,19.0,6,Quenched (oil) & tempered – high-strength structural steel
27,2,"27,2854",AISI 4140 Steel,"Oil Quenched, 50 mm (2 In.) Round (845C (1550F) Quench, 595C (1100F) Temper)",883.0,710.0,21.0,6,Quenched (oil) & tempered – high-strength structural steel
28,2,"28,2189",AISI 4118 Steel,"Annealed At 870C (1600F), Furnace Cooled At 11C (20F)/Hour, 25 mm (1 In.) Round",517.0,365.0,33.0,7,Annealed – easy-to-machine – round annealed stock
29,2,"29,2094",AISI 4118 Steel,"Normalized At 910C (1670F), Air Cooled, 25 mm (1 In.) Round",583.0,386.0,32.0,4,Normalized (air cooled) – general-purpose steel
30,2,"30,2939",AISI 4140 Steel,"Oil Quenched, 100 mm (4 In.) Round [845C (1550F) Quench, 540C (1000F) Temper]",883.0,685.0,19.0,6,Quenched (oil) & tempered – high-strength structural steel
31,2,"31,2599",AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 25 mm (1 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 855C (1570F) And Oil Quenched, 150C (300F) Temper",786.0,495.0,22.0,0,Carburized – quenched (oil) – wear-resistant surface steel
32,2,"32,2102",AISI 4027 Steel,"Water Quenched 865C (1590F), 540C (1000F) Temper, 25 mm (1 In.) Round",958.0,841.0,18.0,10,Quenched (water) & tempered – high-strength structural steel
33,2,"33,2134",AISI 4027 Steel,"Water Quenched 865C (1590F), 540C (1000F) Temper, 14 mm (0.55 In.) Round",993.0,896.0,17.0,10,Quenched (water) & tempered – high-strength structural steel
34,2,"34,2188",AISI 4118 Steel,"Single Quenched And Tempered, Carburized, 150C (300F) Temper",986.0,650.0,18.0,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
35,2,"35,2766",AISI 4130H Steel,"Normalized At 870C (1600F), Air Cooled, 50 mm (2 In.) Round",615.0,425.0,28.0,4,Normalized (air cooled) – general-purpose steel
36,2,"36,2772",AISI 4140 Steel,"Normalized At 870C (1600F), Air Cooled, 25 mm (1 In.) Round",1020.0,655.0,17.0,4,Normalized (air cooled) – general-purpose steel
37,2,"37,2086",AISI 4027 Steel,"Normalized, 100 mm (4 In.) Round",565.0,350.0,28.0,9,Normalized – general-purpose steel (round normalized stock)
38,2,"38,2810",AISI 4140 Steel,"Oil Quenched, 315C (600F) Temper, 25 mm (1 In.) Round",1585.0,1345.0,11.0,6,Quenched (oil) & tempered – high-strength structural steel
39,2,"39,2789",AISI 4140 Steel,"Oil Quenched, 205C (400F) Temper, 25 mm (1 In.) Round",1795.0,1515.0,8.0,6,Quenched (oil) & tempered – high-strength structural steel
40,2,"40,2793",AISI 4130H Steel,"Water Quenched 855C (1570F), 540C (1000F) Temper, 50 mm (2 In.) Round",841.0,685.0,21.0,10,Quenched (water) & tempered – high-strength structural steel
41,2,"41,2872",AISI 4140 Steel,"Normalized At 870C (1600F), Air Cooled, 50 mm (2 In.) Round",972.0,635.0,16.0,4,Normalized (air cooled) – general-purpose steel
42,2,"42,2862",AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 370C (700F) Temper, 25 mm (1 In.) Round",1595.0,1460.0,12.0,0,Carburized – quenched (oil) – wear-resistant surface steel
43,2,"43,2198",AISI 4027 Steel,"Water Quenched 865C (1590F), 595C (1100F) Temper, 25 mm (1 In.) Round",786.0,640.0,23.0,10,Quenched (water) & tempered – high-strength structural steel
44,2,"44,2120",AISI 4118H Steel,"Normalized At 910C (1670F), Air Cooled, 25 mm (1 In.) Round",583.0,386.0,32.0,4,Normalized (air cooled) – general-purpose steel
45,2,"45,2110",AISI 4118 Steel,"Normalized At 910C (1670F), Air Cooled, 50 mm (2 In.) Round",534.0,376.0,34.0,4,Normalized (air cooled) – general-purpose steel
46,2,"46,2082",AISI 4027 Steel,"Water Quenched 865C (1590F), 480C (900F) Temper, 14 mm (0.55 In.) Round",1075.0,986.0,15.0,10,Quenched (water) & tempered – high-strength structural steel
47,2,"47,2767",AISI 4130 Steel,"Water Quenched 855C (1570F), 540C (1000F) Temper, 50 mm (2 In.) Round",841.0,685.0,21.0,10,Quenched (water) & tempered – high-strength structural steel
48,2,"48,2779",AISI 4130 Steel,"Annealed At 865C (1585F), Furnace Cooled 11C (20F)/Hour To 680C (1255F), Air Cooled, 25 mm (1 In.) Round",560.0,460.0,21.0,7,Annealed – easy-to-machine – round annealed stock
49,2,"49,2858",AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 260C (500F) Temper, 25 mm (1 In.) Round",1860.0,1655.0,11.0,0,Carburized – quenched (oil) – wear-resistant surface steel
50,2,"50,2794",AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 425C (800F) Temper, 25 mm (1 In.) Round",1450.0,1345.0,15.0,0,Carburized – quenched (oil) – wear-resistant surface steel
51,2,"51,2175",AISI 4118 Steel,"Normalized At 910C (1670F), Air Cooled, 14 mm (0.55 In.) Round",586.0,393.0,31.0,4,Normalized (air cooled) – general-purpose steel
52,2,"52,2805",AISI 4140H Steel,"Oil Quenched 845C (1550F), 595C (1100F) Temper, 100 mm (4 In.) Round",807.0,600.0,21.0,6,Quenched (oil) & tempered – high-strength structural steel
53,2,"53,2781",AISI 4130 Steel,Normalized At 870C (1600F),670.0,435.0,25.0,4,Normalized (air cooled) – general-purpose steel
54,2,"54,2814",AISI 4140 Steel,"Oil Quenched, 25 mm (1 In.) Round [845C (1550F) Quench, 540C (1000F) Temper]",1075.0,986.0,15.0,6,Quenched (oil) & tempered – high-strength structural steel
55,2,"55,2771",AISI 4130H Steel,"Water Quenched 855C (1570F), 595C (1100F) Temper, 100 mm (4 In.) Round",703.0,540.0,24.0,10,Quenched (water) & tempered – high-strength structural steel
56,2,"56,2774",AISI 4130H Steel,"Water Quenched 855C (1570F), 595C (1100F) Temper, 50 mm (2 In.) Round",786.0,635.0,21.0,10,Quenched (water) & tempered – high-strength structural steel
57,2,"57,2125",AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 13.7 mm (0.540 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 800C (1470F) And Oil Quenched, 150C (300F) Temper",965.0,655.0,15.0,0,Carburized – quenched (oil) – wear-resistant surface steel
58,2,"58,2799",AISI 4140 Steel,"Oil Quenched, 25 mm (1 In.) Round (845C (1550F) Quench, 650C (1200F) Temper)",917.0,841.0,21.0,6,Quenched (oil) & tempered – high-strength structural steel
59,2,"59,2940",AISI 4140H Steel,"Oil Quenched 845C (1550F), 595C (1100F) Temper, 13 mm (0.5 In.) Round",1090.0,1025.0,18.0,6,Quenched (oil) & tempered – high-strength structural steel
60,2,"60,2807",AISI 4140 Steel,"Oil Quenched, 13 mm (0.5 In.) Round [845C (1550F) Quench, 540C (1000F) Temper]",1185.0,1110.0,15.0,6,Quenched (oil) & tempered – high-strength structural steel
61,2,"61,2846",AISI 4130H Steel,"Water Quenched 855C (1570F), 480C (900F) Temper, 100 mm (4 In.) Round",841.0,655.0,20.0,10,Quenched (water) & tempered – high-strength structural steel
62,2,"62,2782",AISI 4140 Steel,"Oil Quenched, 540C (1000F) Temper, 25 mm (1 In.) Round",1140.0,965.0,18.0,6,Quenched (oil) & tempered – high-strength structural steel
63,2,"63,2792",AISI 4140H Steel,"Oil Quenched 845C (1550F), 650C (1200F) Temper, 100 mm (4 In.) Round",772.0,580.0,23.0,6,Quenched (oil) & tempered – high-strength structural steel
64,2,"64,2916",AISI 4140H Steel,"Oil Quenched 845C (1550F), 650C (1200F) Temper, 50 mm (2 In.) Round",841.0,675.0,23.0,6,Quenched (oil) & tempered – high-strength structural steel
65,2,"65,2802",AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 315C (600F) Temper, 25 mm (1 In.) Round",1725.0,1572.0,11.0,0,Carburized – quenched (oil) – wear-resistant surface steel
66,2,"66,2790",AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 540C (1000F) Temper, 25 mm (1 In.) Round",1150.0,1050.0,17.0,0,Carburized – quenched (oil) – wear-resistant surface steel
67,2,"67,2798",AISI 4140H Steel,"Oil Quenched 845C (1550F), Tempered 540C (1000F), 50 mm (2 In.) Round",965.0,800.0,17.0,6,Quenched (oil) & tempered – high-strength structural steel
68,2,"68,3012",AISI 4140H Steel,"Normalized At 870C (1600F), Air Cooled, 25 mm (1 In.) Round",1020.0,655.0,17.0,4,Normalized (air cooled) – general-purpose steel
69,2,"69,2842",AISI 4140H Steel,"Oil Quenched, Tempered 205C (400F), 25 mm (1 In.) Round",1795.0,1515.0,8.0,6,Quenched (oil) & tempered – high-strength structural steel
70,2,"70,2100",AISI 4118 Steel,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 230C (450F) Temper, 100 mm (4 In.) Round",617.0,296.0,28.0,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
71,2,"71,2256",AISI 4118 Steel,"Double Quenched And Tempered, Carburized, 150C (300F) Temper",869.0,440.0,21.0,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
72,2,"72,3077",AISI 4140H Steel,Annealed 815C,655.0,420.0,25.0,7,Annealed – easy-to-machine – round annealed stock
73,2,"73,2769",AISI 4130H Steel,"Water Quenched 855C (1570F), 595C (1100F) Temper, 13 mm (0.5 In.) Round",917.0,841.0,20.0,10,Quenched (water) & tempered – high-strength structural steel
74,2,"74,2922",AISI 4140 Steel,"Oil Quenched, 50 mm (2 In.) Round (845C (1550F) Quench, 650C (1200F) Temper)",841.0,675.0,23.0,6,Quenched (oil) & tempered – high-strength structural steel
75,2,"75,2768",AISI 4130 Steel,"Normalized At 870C (1600F), Air Cooled, 50 mm (2 In.) Round",615.0,415.0,28.0,4,Normalized (air cooled) – general-purpose steel
76,2,"76,2791",AISI 4130H Steel,"Water Quenched 855C (1570F), 480C (900F) Temper, 50 mm (2 In.) Round",917.0,758.0,19.0,10,Quenched (water) & tempered – high-strength structural steel
77,2,"77,2784",AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 480C (900F) Temper, 25 mm (1 In.) Round",1295.0,1205.0,16.0,0,Carburized – quenched (oil) – wear-resistant surface steel
78,2,"78,2987",AISI 4140 Steel,"Oil Quenched, 100 mm (4 In.) Round (845C (1550F) Quench, 595C (1100F) Temper)",807.0,600.0,21.0,6,Quenched (oil) & tempered – high-strength structural steel
79,2,"79,2927",AISI 4140 Steel,"Oil Quenched, 650C (1200F) Temper, 25 mm (1 In.) Round",931.0,793.0,22.0,6,Quenched (oil) & tempered – high-strength structural steel
80,2,"80,2811",AISI 4140H Steel,"Heat Treated, Tempered 480C (900F), 25 mm (1 In.) Round",1295.0,1205.0,16.0,0,Carburized – quenched (oil) – wear-resistant surface steel
81,2,"81,2881",AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 650C (1200F) Temper, 25 mm (1 In.) Round",896.0,786.0,21.0,0,Carburized – quenched (oil) – wear-resistant surface steel
82,2,"82,2867",AISI 4140H Steel,"Heat Treated, Tempered 425C (800F), 25 mm (1 In.) Round",1450.0,1345.0,15.0,0,Carburized – quenched (oil) – wear-resistant surface steel
83,2,"83,2119",AISI 4118 Steel,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 150C (300F) Temper, 14 mm (0.55 In.) Round",986.0,645.0,17.0,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
84,2,"84,2966",AISI 4130H Steel,"Normalized At 870C (1600F), Air Cooled, 13 mm (0.5 In.) Round",731.0,460.0,25.0,4,Normalized (air cooled) – general-purpose steel
85,2,"85,2765",AISI 4140 Steel,"Normalized At 870C (1600F), Air Cooled, 13 mm (0.5 In.) Round",1020.0,675.0,17.0,4,Normalized (air cooled) – general-purpose steel
86,2,"86,2819",AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 705C (1300F) Temper, 25 mm (1 In.) Round",807.0,689.0,23.0,0,Carburized – quenched (oil) – wear-resistant surface steel
87,2,"87,2817",AISI 4140H Steel,"Oil Quenched 845C (1550F), 595C (1100F) Temper, 25 mm (1 In.) Round",965.0,931.0,19.0,6,Quenched (oil) & tempered – high-strength structural steel
88,2,"88,2800",AISI 4140H Steel,"Oil Quenched 845C (1550F), 595C (1100F) Temper, 50 mm (2 In.) Round",883.0,710.0,21.0,6,Quenched (oil) & tempered – high-strength structural steel
89,2,"89,2866",AISI 4140H Steel,"Oil Quenched 845C (1550F), 650C (1200F) Temper, 25 mm (1 In.) Round",917.0,841.0,21.0,6,Quenched (oil) & tempered – high-strength structural steel
90,2,"90,2909",AISI 4140H Steel,"Oil Quenched 845C (1550F), Tempered 540C (1000F), 25 mm (1 In.) Round",1075.0,986.0,15.0,6,Quenched (oil) & tempered – high-strength structural steel
91,2,"91,2157",AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 13.7 mm (0.540 In.) Rounds, Pseudocarburized At 925C (1700F) And Oil Quenched, 150C (300F) Temper",1050.0,786.0,15.0,0,Carburized – quenched (oil) – wear-resistant surface steel
92,2,"92,2109",AISI 4118 Steel,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 150C (300F) Temper, 25 mm (1 In.) Round",820.0,445.0,21.0,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
93,2,"93,2907",AISI 4150H Steel,"Normalized At 870C (1600F), Air Cooled, 100 mm (4 In.) Round",1005.0,635.0,19.0,4,Normalized (air cooled) – general-purpose steel
94,2,"94,2803",AISI 4140 Steel,"Oil Quenched, 13 mm (0.5 In.) Round (845C (1550F) Quench, 595C (1100F) Temper)",1090.0,1025.0,18.0,6,Quenched (oil) & tempered – high-strength structural steel
95,2,"95,2127",AISI 4118H Steel,"Annealed At 870C (1600F), Furnace Cooled At 11C (20F)/Hour, 25 mm (1 In.) Round",517.0,365.0,33.0,7,Annealed – easy-to-machine – round annealed stock
96,2,"96,2887",AISI 4150H Steel,"Oil Quenched 830C (1525F), 540C (1000F) Temper, 25 mm (1 In.) Round",1205.0,1105.0,14.0,6,Quenched (oil) & tempered – high-strength structural steel
97,2,"97,2084",AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 25 mm (1 In.) Rounds, Pseudocarburized At 925C (1700F) And Oil Quenched, 150C (300F) Temper",827.0,585.0,20.0,0,Carburized – quenched (oil) – wear-resistant surface steel
98,2,"98,2773",AISI 4130 Steel,"Water Quenched 855C (1570F), 540C (1000F) Temper, 13 mm (0.5 In.) Round",1040.0,979.0,18.0,10,Quenched (water) & tempered – high-strength structural steel
99,2,"99,3001",AISI 4140H Steel,"Heat Treated, Tempered 315C (600F), 25 mm (1 In.) Round",1725.0,1572.0,11.0,0,Carburized – quenched (oil) – wear-resistant surface steel
100,2,"100,2795",AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 595C (1100F) Temper, 25 mm (1 In.) Round",1020.0,910.0,19.0,0,Carburized – quenched (oil) – wear-resistant surface steel
101,2,"101,2849",AISI 4140H Steel,"Oil Quenched, Tempered 315C (600F), 25 mm (1 In.) Round",1585.0,1345.0,11.0,6,Quenched (oil) & tempered – high-strength structural steel
102,2,"102,2865",AISI 4150H Steel,"Oil Quenched 830C (1525F), 650C (1200F) Temper, 13 mm (0.5 In.) Round",1020.0,945.0,17.0,6,Quenched (oil) & tempered – high-strength structural steel
103,2,"103,2848",AISI 4140 Steel,"Oil Quenched, 13 mm (0.5 In.) Round (845C (1550F) Quench, 650C (1200F) Temper)",938.0,889.0,19.0,6,Quenched (oil) & tempered – high-strength structural steel
104,2,"104,2582",AISI 4118 Steel,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 230C (450F) Temper, 14 mm (0.55 In.) Round",951.0,617.0,17.0,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
105,2,"105,2822",AISI 4150 Steel,"Oil Quenched 830C (1525F), 650C (1200F) Temper, 100 mm (4 In.) Round",855.0,625.0,21.0,6,Quenched (oil) & tempered – high-strength structural steel
106,2,"106,2329",AISI 4118 Steel,"Direct Quenched From Pot, Carburized, 230C (450F) Temper",1220.0,896.0,13.0,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
107,2,"107,2913",AISI 4140H Steel,"Oil Quenched 845C (1550F), 650C (1200F) Temper, 13 mm (0.5 In.) Round",938.0,889.0,19.0,6,Quenched (oil) & tempered – high-strength structural steel
108,2,"108,2826",AISI 4150 Steel,"Oil Quenched 830C (1525F), 595C (1100F) Temper, 100 mm (4 In.) Round",910.0,675.0,20.0,6,Quenched (oil) & tempered – high-strength structural steel
109,2,"109,2761",AISI 4130 Steel,"Water Quenched 855C (1570F), 480C (900F) Temper, 13 mm (0.5 In.) Round",1145.0,1110.0,16.0,10,Quenched (water) & tempered – high-strength structural steel
110,2,"110,2838",AISI 4140H Steel,"Heat Treated, Tempered 205C (400F), 25 mm (1 In.) Round",1020.0,675.0,17.0,0,Carburized – quenched (oil) – wear-resistant surface steel
111,2,"111,2812",AISI 4140H Steel,"Oil Quenched, 650C (1200F) Temper, 25 mm (1 In.) Round",931.0,793.0,22.0,6,Quenched (oil) & tempered – high-strength structural steel
112,2,"112,2169",AISI 4027 Steel,"Water Quenched 865C (1590F), 595C (1100F) Temper, 14 mm (0.55 In.) Round",896.0,800.0,20.0,10,Quenched (water) & tempered – high-strength structural steel
113,2,"113,2829",AISI 4130H Steel,"Water Quenched 855C (1570F), 540C (1000F) Temper, 13 mm (0.5 In.) Round",1040.0,979.0,18.0,10,Quenched (water) & tempered – high-strength structural steel
114,2,"114,2820",AISI 4150H Steel,"Annealed At 830C (1525F), Furnace Cooled 11C (20F)/Hour, Air Cooled, 25 mm (1 In.) Round",731.0,380.0,20.0,7,Annealed – easy-to-machine – round annealed stock
115,2,"115,2777",AISI 4130 Steel,"Water Quenched 855C (1570F), 540C (1000F) Temper, 25 mm (1 In.) Round",993.0,896.0,18.0,10,Quenched (water) & tempered – high-strength structural steel
116,2,"116,2141",AISI 4118H Steel,"Single Quenched, 150C (300F) Temper, 1.2 mm Case Depth",869.0,440.0,21.0,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
117,2,"117,2107",AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 25 mm (1 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 775C (1430F) And Oil Quenched, 150C (300F) Temper",724.0,415.0,19.0,0,Carburized – quenched (oil) – wear-resistant surface steel
118,2,"118,2088",AISI 4027 Steel,"Annealed, 25 mm (1 In.) Round",515.0,325.0,30.0,3,Normalized – easy-to-machine stock (cold drawn)
