alloy_name,Text,Co,Cr,Ni,Al,Ti,Ta,B,C,Cu,Fe,Hf,Mn,Mo,Nb,V,W,Zr,RT_YS,RT_UTS,RT_EL,HT_YS,HT_UTS,HT_EL
BYG331-5#,A W-1.66Mo-1.39C-1.34Nb (wt.%) alloy with an unknown phase structure was heat treated at 1120 °C for 1 h followed by small forging at 800 °C for 10 h and tested at 700 °C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.39,1.34,0.0,1.66,0.0,1028.0,1442.0,21.5,876.0,1121.0,6.0
BYG331-6#,A W-1.69Mo-1.44C-0.09Nb-1.43 alloy with an unknown phase structure was investigated in the as-received state and tested at room temperature.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,1.44,1.43,0.0,1.69,0.0,,,,,,
3J22G,"An alloy with a composition of 0.108 C, 3.48 Mo, 3.72 W, and 15.76 Fe (wt.%) exhibiting an unknown phase structure was forged, cold-rolled to a thickness of 1.0 mm, and aged at 425 °C for 4 h before being tested at room temperature.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,15.76,0.0,0.0,3.48,0.0,0.0,3.72,0.0,1062.0,1189.0,7.5,,,
3J22G,"An alloy with a composition of 0.108 C, 3.48 Mo, 3.72 W, and 15.76 Fe (wt.%) exhibiting an unknown phase structure was forged, cold-rolled to a thickness of 1.0 mm, and aged at 425 °C for 4 h before being tested at room temperature.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,15.76,0.0,0.0,3.48,0.0,0.0,3.72,0.0,994.0,996.0,3.0,,,
3J22G,"An alloy with a composition of 0.108 C, 3.48 Mo, 3.72 W, and 15.76 Fe (wt.%) exhibiting an unknown phase structure was forged, cold-rolled to a thickness of 1.0 mm, and aged at 425 °C for 4 h before being tested at room temperature.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,15.76,0.0,0.0,3.48,0.0,0.0,3.72,0.0,1514.0,1520.0,0.24,,,
3J22G,"An alloy with a composition of 0.108 C, 3.48 Mo, 3.72 W, and 15.76 Fe (wt.%) exhibiting an unknown phase structure was forged, cold-rolled to a thickness of 1.0 mm, and aged at 425 °C for 4 h before being tested at room temperature.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,15.76,0.0,0.0,3.48,0.0,0.0,3.72,0.0,1628.0,1662.0,0.32,,,
Al0.3CoCrFeNi,A Co-24.25Cr-24.25Ni-7.25Al-24.25Fe (at.%) alloy exhibiting a face-centered cubic (FCC) matrix with ordered L1_2 precipitates was tested in the as-cast state at room temperature.,24.25,24.25,24.25,7.25,0.0,0.0,0.0,0.0,0.0,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,525.0,44.0,,,
Al0.5CoCrCu0.5FeNi2,A Co-20Cr-20Ni-40Al-10Cu-20Fe (at.%) alloy exhibiting a dual-phase microstructure of face-centered cubic (FCC) matrix with ordered L1_2 precipitates was investigated in the as-cast condition and mechanically tested at 500 °C.,20.0,20.0,40.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,489.0,39.0,215.0,248.0,6.0
Al0.5CoCrCuFeNi,A Co-20Cr-20Ni-10Al-10Cu-20Fe (at.%) alloy exhibiting a dual-phase microstructure of face-centered cubic (FCC) matrix with ordered L1_2 precipitates was investigated in the as-cast condition and mechanically tested at room temperature.,20.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,707.0,19.0,,,
Al0.5CoCrCuFeNi_HT,A Co-20Cr-20Ni-10Al-10Cu-20Fe (at.%) alloy possessing a dual-phase face-centered cubic (FCC) microstructure underwent heat treatment and cold rolling and was tested at 300 °C.,20.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,790.0,25.0,460.0,600.0,6.0
Al0.5CoCrCuFeNi_HT,A Co-20Cr-20Ni-10Al-10Cu-20Fe (at.%) alloy possessing a dual-phase face-centered cubic (FCC) microstructure underwent heat treatment and cold rolling and was tested at 300 °C.,20.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,790.0,25.0,500.0,590.0,4.0
Al0.5CoCrCuFeNi_HT,A Co-20Cr-20Ni-10Al-10Cu-20Fe (at.%) alloy possessing a dual-phase face-centered cubic (FCC) microstructure underwent heat treatment and cold rolling and was tested at 300 °C.,20.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,790.0,25.0,430.0,450.0,2.0
Al0.5CoCrCuFeNi_HT,A Co-20Cr-20Ni-10Al-10Cu-20Fe (at.%) alloy possessing a dual-phase face-centered cubic (FCC) microstructure underwent heat treatment and cold rolling and was tested at 300 °C.,20.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,790.0,25.0,270.0,310.0,3.0
Al0.5CoCrCuFeNi_HT,A Co-20Cr-20Ni-10Al-10Cu-20Fe (at.%) alloy possessing a dual-phase face-centered cubic (FCC) microstructure underwent heat treatment and cold rolling and was tested at 300 °C.,20.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,790.0,25.0,170.0,190.0,13.0
CoCrFeMnNi,A Co-20Cr-20Ni-20Fe-20Mn (at.%) high-entropy alloy with a single face-centered cubic (FCC) phase was cold rolled and annealed and tested at 400 °C.,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,362.0,651.0,51.0,267.0,493.0,32.0
CoCrFeMnNi,An equiatomic CoCrNiFeMn high-entropy alloy with a single face-centered cubic (FCC) phase was subjected to cold rolling and annealing and tested at 600 °C.,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,362.0,651.0,51.0,241.0,423.0,42.0
CoCrFeNi,A Co-25Cr-25Ni-25Fe (at.%) high-entropy alloy with a face-centered cubic (FCC) structure was subjected to cold rolling and annealing and tested at 200 °C.,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,714.0,38.0,215.0,582.0,34.0
CoCrFeNi,A Co-25Cr-25Ni-25Fe (at.%) alloy exhibiting a face-centered cubic (FCC) phase was subjected to cold rolling and annealing and tested at 400 °C.,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,714.0,38.0,195.0,496.0,28.0
CoCrMnNi,A Co-25Cr-25Ni-25Mn (at.%) alloy with a single face-centered cubic (FCC) phase was subjected to cold rolling and annealing and tested at 200 °C.,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,280.0,699.0,43.0,215.0,582.0,36.0
CoCrMnNi,A Co-25Cr-25Ni-25Mn (at.%) alloy with a single face-centered cubic (FCC) phase was subjected to cold rolling and annealing and tested at 400 °C.,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,280.0,555.0,43.0,186.0,,28.0
Al0.4Hf0.6NbTaTiZr,An Al-13.3Ti-13.3Ta-20Hf-13.3Nb-13.3Zr (at.%) alloy with a single body-centered cubic (BCC) phase was tested in the as-cast condition at 800 °C.,0.0,0.0,0.0,13.3,13.3,13.3,0.0,0.0,0.0,0.0,20.0,0.0,0.0,13.3,0.0,0.0,13.3,1841.0,,10.0,796.0,,50.0
Al0.4Hf0.6NbTaTiZr,An Al-13.3Ti-13.3Ta-20Hf-13.3Nb-13.3Zr (at.%) alloy with a body-centered cubic (BCC) structure was tested at 1000 °C in the as-cast condition.,0.0,0.0,0.0,13.3,13.3,13.3,0.0,0.0,0.0,0.0,20.0,0.0,0.0,13.3,0.0,0.0,13.3,1841.0,,10.0,298.0,,50.0
Al0.25NbTaTiV,An Al-6.25Ti-18.75Ta-18.75Nb-18.75V (at.%) alloy exhibiting a body-centered cubic (BCC) structure was examined in the as-cast condition and tested at room temperature.,0.0,0.0,0.0,6.25,18.75,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,18.75,0.0,0.0,1330.0,,50.0,,,
AlNbTaTiV,An Al-20Ti-20Ta-20Nb-20V (at.%) alloy with a single body-centered cubic (BCC) phase was tested in the as-cast condition at room temperature.,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,991.0,,50.0,,,
HfNbTaTiZr,An equiatomic Ti-20Ta-20Hf-20Nb-20Zr (at.%) alloy with a single body-centered cubic (BCC) phase was investigated in the as-cast state and tested at 600 °C.,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,929.0,,50.0,675.0,,50.0
HfNbTaTiZr,An equiatomic Ti-20Ta-20Hf-20Nb-20Zr (at.%) alloy with a single body-centered cubic (BCC) phase was investigated in the as-cast condition and mechanically tested at 800 °C.,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,929.0,,50.0,535.0,,50.0
MoNbTaVW,A Ta-20Mo-20Nb-20V-20W (at.%) high-entropy alloy with a single body-centered cubic (BCC) phase was evaluated in the as-cast condition at 600 °C.,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,1246.0,,1.7,862.0,,13.0
MoNbTaVW,An equiatomic Ta-20Mo-20Nb-20V-20W (at.%) high-entropy alloy with a single body-centered cubic (BCC) phase was investigated in the as-cast condition and mechanically tested at 800 °C.,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,1246.0,,1.7,846.0,,17.0
MoNbTaVW,An equiatomic TaMoNbVW (at.%) alloy with a single body-centered cubic (BCC) phase was tested in the as-cast condition at 1000 °C.,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,1246.0,,1.7,842.0,,19.0
MoNbTaVW,A Ta-20Mo-20Nb-20V-20W (at.%) alloy with a body-centered cubic (BCC) phase was investigated in the as-cast state at 1200 °C.,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,1246.0,,1.7,735.0,,7.5
MoNbTaVW,A Ta-20Mo-20Nb-20V-20W (at.%) alloy with a body-centered cubic (BCC) structure was tested in the as-cast condition at 1400 °C.,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,1246.0,,1.7,656.0,,18.0
MoNbTaVW,An equiatomic Ta-20Mo-20Nb-20V-20W (at.%) alloy exhibiting a single body-centered cubic (BCC) phase was tested in the as-cast condition at 1600 °C.,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,1246.0,,1.7,477.0,,13.0
TiNbMoTaW,An equiatomic Ti-20Ta-20Nb-20Mo-20W (at.%) refractory high-entropy alloy with a single body-centered cubic (BCC) phase was tested in the as-cast condition at 800 °C.,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,,,,674.0,1618.0,46.6
TiNbMoTaW,A Ti-20Ta-20Nb-20Mo-20W (at.%) alloy exhibiting a single body-centered cubic (BCC) phase was investigated in the as-cast condition and mechanically tested at 1000 °C.,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,,,,620.0,1426.0,35.5
TiVNbMoTaW,An equiatomic TiTaVNbMoW (at.%) alloy with a single body-centered cubic (BCC) phase was investigated in the as-cast condition and tested at 800 °C.,0.0,0.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,16.67,16.67,16.67,16.67,0.0,,,,791.3,1180.0,9.4
TiVNbMoTaW,An equiatomic TiTaVNbMoW alloy with a single body-centered cubic (BCC) phase was evaluated in the as-cast condition at 1000 °C.,0.0,0.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,16.67,16.67,16.67,16.67,0.0,,,,752.8,1105.0,23.7
Ti40Al10V10Nb20Mo20,An Al-10Ti-40V-10Nb-20Mo (at.%) alloy with a single body-centered cubic (BCC) phase was mechanically tested at 800 °C in the as-cast condition.,0.0,0.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,10.0,0.0,0.0,,,,520.0,,50.0
Ti35Al15V15Nb20Mo20,An Al-15Ti-35V-15Nb-20Mo (at.%) alloy with a body-centered cubic (BCC) phase was mechanically tested at 800 °C in the as-cast condition.,0.0,0.0,0.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,15.0,0.0,0.0,,,,550.0,,50.0
Ti30Al20V20Nb20Mo10,An Al-20Ti-30V-20Nb-10Mo (at.%) alloy with a single body-centered cubic (BCC) phase was tested in the as-cast condition at 800 °C.,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,20.0,0.0,0.0,,,,624.0,,30.0
VCrFeTa0.1W0.1,A Cr-32.26Fe-32.26Ta-3.23V-32.26W (at.%) alloy with a single body-centered cubic (BCC) phase was investigated in the as-cast condition at 600 °C.,0.0,32.26,0.0,0.0,0.0,3.23,0.0,0.0,0.0,32.26,0.0,0.0,0.0,0.0,32.26,3.23,0.0,,,,1234.0,2158.0,28.1
VCrFeTa0.1W0.1,A Cr-32.26Ta-3.23V-32.26Fe-32.26W (at.%) alloy with a body-centered cubic (BCC) structure was tested in the as-cast condition at 800 °C.,0.0,32.26,0.0,0.0,0.0,3.23,0.0,0.0,0.0,32.26,0.0,0.0,0.0,0.0,32.26,3.23,0.0,,,,1019.0,1289.0,50.0
VCrFeTa0.2W0.2,A Cr-30.3Ta-6.06V-30.3Fe-30.3W-6.06 (at.%) alloy with a body-centered cubic (BCC) phase was tested in the as-cast condition at 600 °C.,0.0,30.3,0.0,0.0,0.0,6.06,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,30.3,6.06,0.0,,,,1657.0,2316.0,22.6
VCrFeTa0.2W0.2,A Cr-30.3Ta-6.06V-30.3Fe-30.3W (at.%) alloy with a body-centered cubic (BCC) structure was investigated in the as-cast condition and mechanically tested at 800 °C.,0.0,30.3,0.0,0.0,0.0,6.06,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,30.3,6.06,0.0,,,,1033.0,1260.0,40.6
V35Ti35Fe15Cr10Zr5,A Cr-10Ti-35V-15Fe-5Zr (at.%) alloy with a single body-centered cubic (BCC) phase was investigated in the as-cast condition and mechanically tested at 700 °C.,0.0,10.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,35.0,0.0,5.0,,,,788.1,918.1,3.24
Al10Cr20Mo20Nb20Ti20Zr10,A Cr-20Al-10Ti-20Mo-20Nb-10Zr (at.%) refractory high-entropy alloy exhibiting a body-centered cubic (BCC) matrix with Laves phase was investigated in the as-cast condition and mechanically tested at 1000 °C.,0.0,20.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,10.0,,,,1260.0,,5.0
HfMoTaTiZr,A Ti-20Ta-20Hf-20Mo-20Zr (at.%) alloy exhibiting a body-centered cubic (BCC) structure was examined in the as-cast condition and tested at 800 °C.,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,,,,1045.0,,19.0
HfMoTaTiZr,An equiatomic Ti-20Ta-20Hf-20Mo-20Zr (at.%) refractory high-entropy alloy with a single body-centered cubic (BCC) phase was tested in the as-cast condition at 1000 °C.,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,,,,855.0,,30.0
HfMoNbTaTiZr,An equiatomic TiTaHfMoNbZr refractory high-entropy alloy with a single body-centered cubic (BCC) phase was investigated in the as-cast condition and tested at 800 °C.,0.0,0.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,16.67,0.0,16.67,16.67,0.0,0.0,16.67,,,,1007.0,,23.0
HfMoNbTaTiZr,An equiatomic TiTaHfMoNbZr refractory high-entropy alloy exhibiting a single body-centered cubic (BCC) phase was evaluated in the as-cast condition at 1000 °C.,0.0,0.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,16.67,0.0,16.67,16.67,0.0,0.0,16.67,,,,814.0,,30.0
Ni43.9Co22.4Fe8.8Al10.7Ti11.7B2.5,A Co-22.4Ni-43.9Al-10.7Ti-11.7Fe-8.8B-2.5 (at.%) alloy exhibiting a dual-phase microstructure of face-centered cubic (FCC) and B2 ordered phase was investigated in the as-cast condition and mechanically tested at 700 °C.,22.4,0.0,43.9,10.7,11.7,0.0,2.5,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,789.0,,
Al19.3Co15Cr15Ni50.7,A Co-15Cr-15Ni-50.7Al-19.3 (at.%) alloy exhibiting a dual-phase microstructure of face-centered cubic (FCC) and B2 ordered phase was tested in the as-cast condition at 850 °C.,15.0,15.0,50.7,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,546.0,,
